Problem,Elements,Sets,Optimal,Greedy,Harmonic,Run Time
scp41,200,1000,429,463,1295,0.04892087
scp410,200,1000,514,556,1595,0.046200991
scp42,200,1000,512,582,1499,0.048433065
scp43,200,1000,516,598,1558,0.048549175
scp44,200,1000,494,548,1446,0.047565937
scp45,200,1000,512,577,1546,0.046836853
scp46,200,1000,560,615,1640,0.046159029
scp47,200,1000,430,476,1334,0.041664839
scp48,200,1000,492,533,1441,0.042611837
scp49,200,1000,641,747,1935,0.050198078
scp51,200,2000,253,289,741,0.090685129
scp510,200,2000,265,293,842,0.090383053
scp52,200,2000,302,348,960,0.089879036
scp53,200,2000,226,246,661,0.084775925
scp54,200,2000,242,265,769,0.090539932
scp55,200,2000,211,236,637,0.087850809
scp56,200,2000,213,251,643,0.089619875
scp57,200,2000,293,326,884,0.090461016
scp58,200,2000,288,323,843,0.090104103
scp59,200,2000,279,312,817,0.086673975
scp61,200,1000,138,159,496,0.038669109
scp62,200,1000,146,170,517,0.037946939
scp63,200,1000,145,161,514,0.035318136
scp64,200,1000,131,149,464,0.038389921
scp65,200,1000,161,196,562,0.037927866
scpa1,300,3000,253,288,870,0.180532932
scpa2,300,3000,252,284,851,0.161178112
scpa3,300,3000,232,270,797,0.163378954
scpa4,300,3000,234,278,804,0.158239841
scpa5,300,3000,236,271,811,0.160972118
scpb1,300,3000,69,77,273,0.113483906
scpb2,300,3000,76,86,301,0.118916035
scpb3,300,3000,80,89,316,0.120123863
scpb4,300,3000,79,89,312,0.126283884
scpb5,300,3000,72,78,285,0.11429286
scpc1,400,4000,227,258,827,0.276506901
scpc2,400,4000,219,258,787,0.275905132
scpc3,400,4000,243,276,849,0.255337954
scpc4,400,4000,219,257,787,0.262529135
scpc5,400,4000,215,233,773,0.256909847
scpclr10,511,210,0,33,0,0.012322903
scpclr11,1023,330,0,30,0,0.035060883
scpclr12,2047,495,0,32,0,0.094935894
scpclr13,4095,715,0,32,0,0.303961039
scpcyc06,240,192,0,60,0,0.006126881
scpcyc07,672,448,0,148,0,0.043823957
scpcyc08,1792,1024,0,364,0,0.258609056
scpcyc09,4608,2304,0,816,0,1.411386013
scpcyc10,11520,5120,0,1928,0,7.825196028
scpcyc11,28160,11264,0,4304,0,42.44760299
scpd1,400,4000,60,74,255,0.209339857
scpd2,400,4000,66,74,279,0.215451956
scpd3,400,4000,72,83,300,0.2142241
scpd4,400,4000,62,71,258,0.222872019
scpd5,400,4000,61,69,254,0.206901073
scpe1,50,500,5,5,17,0.001875877
scpe2,50,500,5,5,17,0.001816988
scpe3,50,500,5,5,17,0.001837969
scpe4,50,500,5,6,17,0.00220108
scpe5,50,500,5,5,17,0.001842976
scpnre1,500,5000,0,30,0,0.282959938
scpnre2,500,5000,0,36,0,0.299433947
scpnre3,500,5000,0,31,0,0.272973061
scpnre4,500,5000,0,32,0,0.297224045
scpnre5,500,5000,0,33,0,0.301152945
scpnrf1,500,5000,0,16,0,0.300676107
scpnrf2,500,5000,0,16,0,0.287582874
scpnrf3,500,5000,0,17,0,0.315627813
scpnrf4,500,5000,0,17,0,0.316837072
scpnrf5,500,5000,0,16,0,0.299500942
scpnrg1,1000,10000,0,203,0,1.433286905
scpnrg2,1000,10000,0,182,0,1.405633926
scpnrg3,1000,10000,0,192,0,1.421491861
scpnrg4,1000,10000,0,191,0,1.399158955
scpnrg5,1000,10000,0,194,0,1.404787064
scpnrh1,1000,10000,0,76,0,1.292396069
scpnrh2,1000,10000,0,74,0,1.263418913
scpnrh3,1000,10000,0,65,0,1.190025091
scpnrh4,1000,10000,0,69,0,1.202065945
scpnrh5,1000,10000,0,63,0,1.175773144
